name_with_owner,stargazers,created_at,pushed_at,primary_language,releases_total,issues_total,issues_closed_total,pull_requests_merged_total
nextlevelbuilder/ui-ux-pro-max-skill,118768,2025-11-30T11:36:31Z,2026-08-20T11:49:07Z,Python,41,174,135,140
Hack-with-Github/Awesome-Hacking,118707,2016-03-30T15:47:10Z,2026-07-26T03:29:02Z,,0,0,0,41
justjavac/free-programming-books-zh_CN,118415,2013-11-04T01:59:19Z,2026-07-29T00:39:06Z,,3,0,0,300
microsoft/generative-ai-for-beginners,118215,2023-06-19T16:28:59Z,2026-08-20T03:43:12Z,Jupyter Notebook,0,244,244,601
godotengine/godot,115931,2014-01-04T16:05:36Z,2026-08-20T21:18:08Z,C++,72,63397,49988,43417
rust-lang/rust,115650,2010-06-16T20:39:03Z,2026-08-20T22:01:42Z,Rust,154,63558,52232,73628
mrdoob/three.js,114635,2010-03-23T18:58:01Z,2026-08-20T21:19:26Z,JavaScript,177,13746,13499,16008
2dust/v2rayN,114289,2019-07-30T03:47:24Z,2026-08-20T02:47:24Z,C#,333,7142,7122,607
d3/d3,113505,2010-09-27T17:22:42Z,2026-05-28T14:43:01Z,Shell,194,2247,2242,495
harry0703/MoneyPrinterTurbo,112884,2024-03-11T02:57:34Z,2026-08-20T02:36:40Z,Python,17,776,756,204
immich-app/immich,112169,2022-02-03T15:56:27Z,2026-08-20T21:41:40Z,TypeScript,305,9154,8675,10044
jaywcjlove/awesome-mac,111502,2016-07-17T15:33:47Z,2026-08-19T05:26:55Z,Swift,15,562,403,1245
tauri-apps/tauri,110406,2019-07-13T09:09:37Z,2026-08-20T10:11:40Z,Rust,0,6420,5136,5676
microsoft/TypeScript,110305,2014-06-17T15:28:39Z,2026-08-20T20:41:20Z,Go,218,43391,38251,14898
browser-use/browser-use,109884,2024-10-31T16:00:56Z,2026-08-19T17:35:21Z,Python,135,1607,1504,1897
VoltAgent/awesome-design-md,109441,2026-03-31T16:37:01Z,2026-07-31T12:32:42Z,,0,385,78,6
axios/axios,109190,2014-08-18T22:30:27Z,2026-08-20T09:15:58Z,JavaScript,123,5056,5009,1483
fatedier/frp,108909,2015-12-21T15:24:59Z,2026-08-17T16:24:14Z,Go,116,4143,4100,861
papers-we-love/papers-we-love,108881,2013-12-15T14:31:41Z,2026-07-01T09:14:27Z,Shell,0,252,250,444
Graphify-Labs/graphify,108677,2026-04-03T15:49:07Z,2026-08-20T16:39:37Z,Python,194,1410,922,135
denoland/deno,108272,2018-05-15T01:34:26Z,2026-08-20T16:14:58Z,Rust,388,15010,13827,16464
supabase/supabase,108217,2019-10-12T05:56:49Z,2026-08-20T22:51:10Z,TypeScript,30,5843,5571,18728
openai/whisper,107680,2022-09-16T20:02:54Z,2026-07-28T20:18:29Z,Python,13,0,0,122
openai/codex,107116,2025-04-13T05:37:54Z,2026-08-20T23:01:58Z,Rust,1000,23604,10516,9734
DietrichGebert/ponytail,106660,2026-06-12T00:52:37Z,2026-08-07T21:44:01Z,JavaScript,15,273,211,174
google-gemini/gemini-cli,106594,2025-04-17T17:04:31Z,2026-08-20T21:43:44Z,TypeScript,592,14227,13669,6660
goldbergyoni/nodebestpractices,105590,2017-09-15T08:33:19Z,2026-06-15T11:41:04Z,Dockerfile,0,342,288,766
microsoft/terminal,104639,2017-08-11T18:38:22Z,2026-08-20T15:48:57Z,C++,156,14060,12413,4521
deepseek-ai/DeepSeek-V3,104357,2024-12-26T09:52:40Z,2025-08-28T03:24:37Z,Python,1,1086,945,25
react/create-react-app,103288,2016-07-17T14:55:11Z,2025-02-15T01:32:11Z,JavaScript,83,8432,6576,1949
rasbt/LLMs-from-scratch,103117,2023-07-23T18:15:57Z,2026-08-10T01:11:40Z,Jupyter Notebook,0,240,238,507
pytorch/pytorch,102504,2016-08-13T05:26:41Z,2026-08-20T22:59:51Z,Python,68,60457,46564,6601
Anduin2017/HowToCook,101911,2020-02-29T10:43:49Z,2026-08-20T07:14:07Z,,5,857,393,646
neovim/neovim,101897,2014-01-31T13:39:22Z,2026-08-20T15:40:42Z,Vim Script,54,14493,12904,19671
fastapi/fastapi,101732,2018-12-08T08:21:47Z,2026-08-19T08:58:11Z,Python,300,3544,3543,3569
angular/angular,101003,2014-09-18T16:12:01Z,2026-08-19T20:48:22Z,TypeScript,693,30899,29908,7381
ruanyf/weekly,100845,2018-10-13T12:36:07Z,2026-08-14T00:20:26Z,,0,10450,1694,120
mtdvio/every-programmer-should-know,100273,2017-08-24T13:18:26Z,2025-12-29T19:37:02Z,,0,47,31,109
JuliusBrussee/caveman,99601,2026-04-04T10:03:00Z,2026-08-20T11:18:26Z,Go,24,356,185,59
ant-design/ant-design,99129,2015-04-24T15:37:24Z,2026-08-20T21:24:26Z,TypeScript,759,32770,31756,18246
TauricResearch/TradingAgents,99060,2024-12-28T03:31:08Z,2026-07-18T15:55:05Z,Python,8,457,273,27
mui/material-ui,98877,2014-08-18T19:11:54Z,2026-08-20T13:46:18Z,JavaScript,572,20515,19137,22184
nvbn/thefuck,97723,2015-04-08T15:08:04Z,2024-07-19T14:56:13Z,Python,17,791,483,482
tailwindlabs/tailwindcss,97292,2017-10-06T14:59:14Z,2026-08-14T19:43:34Z,TypeScript,307,4903,4877,3476
florinpop17/app-ideas,96956,2019-02-25T18:36:56Z,2025-10-11T14:51:21Z,,0,201,53,151
microsoft/Web-Dev-For-Beginners,96407,2020-11-10T02:44:00Z,2026-08-05T10:13:10Z,JavaScript,0,459,392,689
hacksider/Deep-Live-Cam,96024,2023-09-24T13:19:31Z,2026-08-13T22:44:22Z,Python,13,1178,1156,122
oven-sh/bun,95511,2021-04-14T00:48:17Z,2026-08-20T23:05:49Z,Rust,215,17597,14340,9801
puppeteer/puppeteer,95474,2017-05-09T22:16:13Z,2026-08-20T14:27:22Z,TypeScript,701,7401,7154,6214
microsoft/playwright,94829,2019-11-15T18:32:42Z,2026-08-20T22:57:55Z,TypeScript,165,17831,17692,17732
ryanmcdermott/clean-code-javascript,94759,2016-11-25T22:25:41Z,2024-07-29T07:24:37Z,JavaScript,0,247,166,149
nvm-sh/nvm,94664,2010-04-15T17:47:47Z,2026-08-18T06:42:47Z,Shell,74,2448,2111,761
iluwatar/java-design-patterns,94596,2014-08-09T16:45:18Z,2026-08-17T22:42:48Z,Java,0,986,865,1578
earendil-works/pi,94389,2025-08-09T14:03:50Z,2026-08-20T21:09:43Z,TypeScript,255,5231,5145,914
karpathy/autoresearch,94274,2026-03-06T22:00:43Z,2026-03-26T00:07:37Z,Python,0,113,59,7
punkpeye/awesome-mcp-servers,92619,2024-11-30T04:49:10Z,2026-08-17T21:28:42Z,,0,556,551,3392
deepseek-ai/DeepSeek-R1,92032,2025-01-20T11:57:28Z,2025-06-27T08:35:54Z,,1,729,716,10
3b1b/manim,91774,2015-03-22T18:50:58Z,2026-08-18T21:03:49Z,Python,13,1237,775,702
thedotmack/claude-mem,91366,2025-08-31T20:50:03Z,2026-08-20T16:23:20Z,JavaScript,308,1937,1910,510
ruvnet/RuView,91092,2025-06-07T04:32:30Z,2026-08-20T18:14:51Z,Rust,287,472,435,405
storybookjs/storybook,90883,2016-03-18T04:23:44Z,2026-08-20T20:40:22Z,TypeScript,1000,14539,12961,13144
opencv/opencv,90524,2012-07-19T09:40:17Z,2026-08-20T10:59:11Z,C++,69,11639,9098,14064
louislam/uptime-kuma,90411,2021-07-03T01:02:42Z,2026-08-20T00:33:05Z,JavaScript,131,4934,4224,1816
PanJiaChen/vue-element-admin,90207,2017-04-17T03:35:49Z,2024-10-24T11:25:46Z,Vue,49,3613,2357,311
home-assistant/core,90010,2013-09-17T07:29:48Z,2026-08-20T21:29:29Z,Python,1000,73349,70467,90180
bitcoin/bitcoin,89954,2010-12-19T15:16:43Z,2026-08-20T21:13:41Z,C++,68,9177,8842,16837
Stirling-Tools/Stirling-PDF,89941,2023-01-27T18:22:42Z,2026-08-20T22:25:03Z,Java,186,1862,1498,4143
sherlock-project/sherlock,89892,2018-12-24T14:30:48Z,2026-08-20T05:35:33Z,Python,2,1176,1078,744
mermaid-js/mermaid,89862,2014-11-01T23:52:32Z,2026-08-20T16:53:46Z,TypeScript,206,3784,2341,2822
nexu-io/open-design,89743,2026-04-28T04:25:20Z,2026-08-20T18:38:03Z,TypeScript,29,1798,1354,2911
modelcontextprotocol/servers,89719,2024-11-19T01:10:17Z,2026-08-20T01:12:36Z,TypeScript,27,1179,934,1229
microsoft/ML-For-Beginners,89627,2021-03-03T01:34:05Z,2026-08-20T01:11:33Z,Jupyter Notebook,0,166,163,496
vllm-project/vllm,89560,2023-02-09T11:23:20Z,2026-08-20T22:42:49Z,Python,103,17454,15277,20171
gohugoio/hugo,89467,2013-07-04T15:26:26Z,2026-08-20T19:56:40Z,Go,381,8209,8000,3487
gin-gonic/gin,89088,2014-06-16T23:57:25Z,2026-08-15T05:44:19Z,Go,29,2401,1797,1248
zed-industries/zed,88958,2021-02-20T03:01:06Z,2026-08-20T22:13:04Z,Rust,1000,22559,20048,26479
infiniflow/ragflow,88929,2023-12-12T06:13:13Z,2026-08-20T14:42:56Z,Go,53,7641,6350,8550
astral-sh/uv,88920,2023-10-02T20:24:11Z,2026-08-20T22:52:47Z,Rust,303,9233,6873,10153
localsend/localsend,88820,2022-12-16T00:46:07Z,2026-08-19T01:45:43Z,Dart,26,1790,800,732
addyosmani/agent-skills,88813,2026-02-15T20:20:26Z,2026-08-14T18:51:33Z,JavaScript,9,138,82,133
ChatGPTNextWeb/NextChat,88632,2023-03-10T18:27:54Z,2026-08-11T02:07:25Z,TypeScript,77,3611,2906,912
MunGell/awesome-for-beginners,88563,2015-10-24T19:53:36Z,2026-07-25T07:00:20Z,,0,214,194,484
django/django,88509,2012-04-28T02:47:18Z,2026-08-19T18:28:47Z,Python,0,0,0,10691
PaddlePaddle/PaddleOCR,88003,2020-05-08T10:38:16Z,2026-07-22T11:59:34Z,Python,33,10721,10561,3199
sveltejs/svelte,87980,2016-11-20T18:13:05Z,2026-08-20T21:56:23Z,JavaScript,636,9177,8223,6812
syncthing/syncthing,87826,2013-11-26T09:48:21Z,2026-08-20T09:09:35Z,Go,479,5962,5604,2931
ByteByteGoHq/system-design-101,87362,2023-09-18T20:52:03Z,2025-04-04T17:30:30Z,,0,64,20,23
odysseus-dev/odysseus,85814,2026-05-31T14:05:51Z,2026-08-20T17:39:01Z,Python,0,2087,1109,1434
OpenCut-app/OpenCut,85326,2025-06-22T08:02:17Z,2026-08-10T16:38:36Z,TypeScript,3,366,98,192
laravel/laravel,84830,2011-06-08T03:06:08Z,2026-08-18T13:45:25Z,Blade,227,0,0,1710
OpenHands/OpenHands,84619,2024-03-13T03:33:31Z,2026-08-20T22:57:06Z,TypeScript,133,4553,4253,7514
macrozheng/mall,84586,2018-04-04T01:11:44Z,2026-05-14T08:32:05Z,Java,3,506,494,1
bregman-arie/devops-exercises,84182,2019-10-03T17:31:21Z,2025-12-27T14:22:30Z,Python,0,108,71,309
DopplerHQ/awesome-interview-questions,84133,2015-11-28T09:48:17Z,2024-07-29T14:21:23Z,,0,61,34,175
realworld-apps/realworld,84115,2016-02-26T20:49:53Z,2026-08-13T21:19:04Z,TypeScript,0,549,523,435
koala73/worldmonitor,83478,2026-01-08T17:26:06Z,2026-08-20T21:40:59Z,TypeScript,43,1646,1397,4660
Developer-Y/cs-video-courses,83135,2016-10-21T17:02:11Z,2026-07-07T17:42:10Z,,0,0,0,283
animate-css/animate.css,82741,2011-10-12T10:07:38Z,2024-07-29T19:34:21Z,CSS,22,886,843,315
junegunn/fzf,82600,2013-10-23T16:04:23Z,2026-08-20T15:15:46Z,Go,84,3205,2939,687
fighting41love/funNLP,82568,2018-08-21T11:20:39Z,2024-05-10T07:38:24Z,Python,0,92,48,14
vitejs/vite,82429,2020-04-21T05:03:57Z,2026-08-20T07:06:40Z,TypeScript,714,8797,8299,6611
tonsky/FiraCode,81938,2014-11-11T19:32:38Z,2026-07-28T17:02:16Z,Clojure,29,1387,965,145
mlabonne/llm-course,81880,2023-06-17T22:16:25Z,2026-02-05T13:09:26Z,,0,99,33,2
