name_with_owner,stargazers,created_at,pushed_at,primary_language,releases_total,issues_total,issues_closed_total,pull_requests_merged_total
jgthms/bulma,50051,2016-01-23T23:48:34Z,2026-03-01T20:13:02Z,CSS,22,2753,2404,646
stablyai/orca,49991,2026-03-17T03:28:57Z,2026-08-20T23:08:13Z,TypeScript,933,3988,1970,7879
chenglou/pretext,49948,2026-03-07T21:06:28Z,2026-06-23T05:01:09Z,TypeScript,0,96,50,7
tldraw/tldraw,49881,2021-05-09T11:48:37Z,2026-08-20T17:52:41Z,TypeScript,134,2713,2294,5542
Lordog/dive-into-llms,49831,2024-04-08T13:11:40Z,2025-10-10T06:25:48Z,Jupyter Notebook,1,26,17,11
huginn/huginn,49825,2013-03-10T06:00:31Z,2026-08-15T05:06:36Z,Ruby,1,2193,1580,1179
NARKOZ/hacker-scripts,49801,2015-11-21T19:05:09Z,2023-10-23T21:01:40Z,JavaScript,0,106,68,63
jakevdp/PythonDataScienceHandbook,49654,2016-08-10T14:24:36Z,2024-06-26T19:17:33Z,Jupyter Notebook,0,210,84,28
roboflow/supervision,49591,2022-11-28T14:08:44Z,2026-08-20T11:58:54Z,Python,40,544,505,1382
pandas-dev/pandas,49527,2010-08-24T01:37:33Z,2026-08-20T21:50:39Z,Python,122,28481,25874,29424
kelseyhightower/kubernetes-the-hard-way,49516,2016-07-07T14:15:27Z,2025-04-10T06:11:47Z,,0,441,416,73
hashicorp/terraform,49495,2014-03-13T22:25:48Z,2026-08-20T18:37:49Z,Go,437,21747,19992,13651
ChromeDevTools/chrome-devtools-mcp,49494,2025-09-11T10:39:55Z,2026-08-20T18:29:16Z,TypeScript,58,507,434,1145
chen08209/FlClash,49397,2023-08-15T07:47:22Z,2026-08-20T02:58:24Z,Dart,106,2033,1514,2
ClickHouse/ClickHouse,49368,2016-06-02T08:28:18Z,2026-08-20T23:02:46Z,C++,830,30435,25455,69268
astral-sh/ruff,49271,2022-08-09T17:17:44Z,2026-08-20T22:24:28Z,Rust,424,8249,6554,16058
Homebrew/brew,49222,2016-03-06T05:08:38Z,2026-08-20T21:03:38Z,Ruby,509,5277,5277,15257
x64dbg/x64dbg,49206,2015-04-11T20:48:23Z,2026-08-15T11:35:51Z,C++,6,2722,2150,825
GokuMohandas/Made-With-ML,49170,2018-11-05T03:44:27Z,2026-03-04T23:44:21Z,Jupyter Notebook,1,77,59,147
apple/container,49153,2025-05-30T21:26:05Z,2026-08-20T22:41:02Z,Swift,20,868,572,735
calesthio/OpenMontage,49111,2026-03-29T15:23:22Z,2026-08-18T15:50:54Z,Python,0,129,49,93
JuliaLang/julia,49022,2011-04-21T07:01:50Z,2026-08-20T22:42:40Z,Julia,203,26136,22517,27812
bigskysoftware/htmx,48985,2020-04-13T16:17:51Z,2026-08-20T22:47:47Z,JavaScript,32,1740,1123,1190
metabase/metabase,48854,2015-02-02T19:25:47Z,2026-08-20T23:02:19Z,Clojure,822,25716,21970,46186
akullpp/awesome-java,48800,2014-07-09T10:12:43Z,2026-08-19T18:23:37Z,,0,145,145,808
tmux/tmux,48749,2015-06-03T23:32:55Z,2026-08-20T12:57:30Z,C,44,4144,4129,37
algorithm-visualizer/algorithm-visualizer,48682,2016-05-15T00:27:45Z,2024-06-09T06:54:22Z,JavaScript,0,126,77,183
iamkun/dayjs,48665,2018-04-10T09:26:44Z,2026-08-18T04:15:17Z,JavaScript,129,1848,880,730
upscayl/upscayl,48646,2022-07-30T17:19:20Z,2026-08-20T01:28:53Z,TypeScript,29,1079,1025,106
DovAmir/awesome-design-patterns,48633,2018-06-04T17:47:48Z,2024-10-25T19:57:00Z,,0,17,6,30
mudler/LocalAI,48601,2023-03-18T22:58:02Z,2026-08-20T20:59:48Z,Go,136,1611,1512,6737
KRTirtho/spotube,48544,2021-02-14T03:17:58Z,2026-08-16T09:07:33Z,Dart,44,2118,1309,261
nilbuild/design-patterns-for-humans,48463,2017-02-16T21:24:39Z,2024-12-02T04:54:48Z,,0,52,47,50
type-challenges/type-challenges,48453,2020-07-23T14:33:11Z,2026-05-16T14:20:30Z,TypeScript,0,37285,4092,600
Aider-AI/aider,48358,2023-05-09T18:57:49Z,2026-05-22T14:02:20Z,Python,93,4360,3018,288
brillout/awesome-react-components,48238,2016-06-24T15:19:33Z,2026-01-26T16:36:45Z,,0,61,45,343
hugohe3/ppt-master,48231,2025-12-10T06:54:33Z,2026-08-20T15:02:22Z,Python,22,124,119,32
ReactiveX/RxJava,48205,2013-01-08T20:11:48Z,2026-08-20T08:46:10Z,Java,267,3285,3275,3590
slidevjs/slidev,48166,2021-04-24T01:25:23Z,2026-08-19T06:22:42Z,TypeScript,430,1379,1195,901
moeru-ai/airi,48157,2024-12-01T16:33:36Z,2026-08-20T21:32:23Z,TypeScript,81,538,451,1239
router-for-me/CLIProxyAPI,48092,2025-07-01T19:43:27Z,2026-08-20T20:16:16Z,Go,818,2587,2516,697
pixijs/pixijs,48039,2013-01-21T22:40:50Z,2026-08-20T18:16:47Z,TypeScript,309,6134,5843,3887
moment/moment,47914,2011-03-01T02:46:06Z,2026-08-20T21:23:36Z,JavaScript,1,4165,4009,760
HKUDS/CLI-Anything,47885,2026-03-08T13:52:57Z,2026-08-13T04:30:15Z,Python,3,129,77,187
karan/Projects,47884,2013-07-04T13:37:27Z,2024-08-14T19:06:05Z,,0,98,39,19
calcom/cal.diy,47834,2021-03-22T13:47:42Z,2026-08-08T17:13:42Z,TypeScript,611,9389,8270,13099
microsoft/qlib,47794,2020-08-14T06:46:00Z,2026-07-23T08:15:29Z,Python,23,1071,769,756
lukasz-madon/awesome-remote-job,47763,2015-01-02T00:31:34Z,2026-08-16T19:35:44Z,,0,95,75,628
gogs/gogs,47747,2014-02-12T01:57:08Z,2026-08-06T12:32:28Z,Go,98,5209,4269,1958
bevyengine/bevy,47722,2020-01-18T21:13:55Z,2026-08-20T21:16:13Z,Rust,58,8641,5809,8645
minimaxir/big-list-of-naughty-strings,47708,2015-08-08T20:57:20Z,2024-04-18T03:26:59Z,Python,0,101,32,89
discourse/discourse,47686,2013-01-12T00:25:55Z,2026-08-20T22:46:00Z,Ruby,1,0,0,37258
prisma/prisma,47575,2019-06-20T13:33:47Z,2026-08-20T17:31:02Z,TypeScript,254,12020,9559,7062
oobabooga/textgen,47554,2022-12-21T04:17:37Z,2026-08-17T17:38:16Z,Python,113,4198,3397,1273
GitHubDaily/GitHubDaily,47517,2018-12-30T13:56:58Z,2025-12-31T18:59:20Z,,0,967,196,3
acmesh-official/acme.sh,47499,2015-12-26T12:56:33Z,2026-08-20T00:40:55Z,Shell,48,3704,3666,1627
jeecgboot/JeecgBoot,47420,2018-11-26T10:40:00Z,2026-08-20T11:23:57Z,Java,65,8495,8478,133
coreybutler/nvm-windows,47407,2014-09-20T16:37:28Z,2026-04-17T17:58:18Z,Go,23,969,910,107
dypsilon/frontend-dev-bookmarks,47403,2013-06-22T13:23:55Z,2024-05-21T10:56:58Z,,1,117,82,129
rohitg00/ai-engineering-from-scratch,47363,2026-03-18T18:38:02Z,2026-08-10T07:05:52Z,Python,2,74,41,185
slab/quill,47307,2012-07-30T23:23:18Z,2025-07-25T06:09:23Z,TypeScript,95,3848,3270,382
HKUDS/nanobot,47231,2026-02-01T07:16:15Z,2026-08-20T19:10:54Z,Python,19,1455,1256,1522
typescript-cheatsheets/react,47097,2018-06-02T04:08:16Z,2026-05-29T19:52:44Z,TypeScript,0,225,225,387
multica-ai/multica,47073,2026-01-13T17:59:46Z,2026-08-20T18:14:24Z,Go,143,2232,1469,3225
elder-plinius/CL4R1T4S,47066,2025-03-04T20:03:16Z,2026-08-15T02:33:56Z,,0,79,8,0
lysine-dev/okhttp,47050,2012-07-23T13:42:55Z,2026-08-20T21:12:29Z,Kotlin,0,4302,4213,4162
gedoor/legado,47018,2019-05-22T04:18:58Z,2026-05-27T08:41:54Z,Kotlin,0,0,0,0
KeygraphHQ/shannon,46970,2025-09-27T01:51:47Z,2026-08-20T18:47:32Z,TypeScript,19,139,124,128
v2ray/v2ray-core,46933,2015-09-04T11:42:53Z,2026-07-13T03:22:29Z,Go,247,2600,2597,203
serverless/serverless,46917,2015-04-21T03:48:40Z,2026-08-20T16:14:13Z,JavaScript,494,6634,5525,5142
kepano/obsidian-skills,46913,2026-01-02T21:45:11Z,2026-06-08T16:12:01Z,,0,46,20,16
exo-explore/exo,46903,2024-06-24T18:36:22Z,2026-06-23T18:59:18Z,Python,16,931,740,770
Asabeneh/30-Days-Of-JavaScript,46722,2019-12-23T14:07:40Z,2025-12-06T11:12:48Z,JavaScript,0,180,62,100
hiroi-sora/Umi-OCR,46700,2022-03-28T04:01:46Z,2025-11-20T14:58:13Z,Python,31,870,518,58
SimplifyJobs/Summer2027-Internships,46622,2020-05-23T20:53:18Z,2026-08-20T23:01:14Z,Python,0,7659,7562,1675
zhayujie/CowAgent,46603,2022-08-07T08:33:41Z,2026-08-20T14:42:32Z,Python,80,2194,2174,411
microsoft/monaco-editor,46563,2016-06-07T16:56:31Z,2026-08-18T18:33:20Z,JavaScript,189,4015,3244,668
apache/airflow,46561,2015-04-13T18:04:58Z,2026-08-20T19:49:10Z,Python,126,15034,13930,39752
usebruno/bruno,46435,2022-09-27T20:51:45Z,2026-08-20T14:57:43Z,JavaScript,172,4384,3083,2674
LeCoupa/awesome-cheatsheets,46382,2017-11-09T02:47:15Z,2026-04-12T17:26:10Z,JavaScript,0,102,61,175
9001/copyparty,46319,2019-05-26T15:28:33Z,2026-08-17T22:17:30Z,Python,346,1002,783,211
Alishahryar1/free-claude-code,46311,2026-01-28T19:02:30Z,2026-08-20T22:03:27Z,Python,0,731,495,321
docker/awesome-compose,46134,2020-02-13T08:51:42Z,2026-08-15T19:45:19Z,HTML,0,152,47,153
ziishaned/learn-regex,46080,2017-07-22T12:21:03Z,2025-08-25T23:17:54Z,,0,87,36,132
iina/iina,46030,2016-12-19T07:18:45Z,2026-08-20T18:30:50Z,Swift,51,4497,2682,1019
RocketChat/Rocket.Chat,46011,2015-05-19T07:36:09Z,2026-08-20T21:43:28Z,TypeScript,1000,17111,14616,16935
jgm/pandoc,45958,2010-03-20T20:34:23Z,2026-08-20T21:54:40Z,Haskell,158,8340,7367,1802
coqui-ai/TTS,45922,2020-05-20T15:45:28Z,2024-08-16T12:07:14Z,Python,98,1242,1240,467
cli/cli,45909,2019-10-03T15:24:53Z,2026-08-20T22:15:58Z,Go,201,6327,5318,3151
siyuan-note/siyuan,45907,2020-08-30T09:21:35Z,2026-08-20T16:47:57Z,TypeScript,945,17602,17540,953
helix-editor/helix,45897,2020-06-01T04:26:56Z,2026-08-18T23:23:16Z,Rust,30,5941,4853,4875
DavidHDev/react-bits,45889,2024-08-06T06:54:54Z,2026-08-15T05:27:08Z,JavaScript,0,526,524,214
DIYgod/RSSHub,45820,2018-04-02T14:43:21Z,2026-08-20T14:35:19Z,TypeScript,0,6413,6098,13177
zhongyang219/TrafficMonitor,45801,2017-07-30T02:51:17Z,2026-08-19T03:31:54Z,C++,27,2069,741,79
android/architecture-samples,45795,2016-02-05T13:42:07Z,2026-08-12T23:40:24Z,Kotlin,0,497,350,233
QuantumNous/new-api,45745,2023-11-10T19:33:36Z,2026-08-19T08:30:13Z,Go,512,3346,2628,1283
milvus-io/milvus,45715,2019-09-16T06:43:43Z,2026-08-20T22:26:52Z,Go,170,16665,15710,26969
karanpratapsingh/system-design,45677,2022-08-15T18:59:54Z,2026-07-08T00:36:51Z,,0,24,21,14
google/zx,45675,2021-05-05T05:50:01Z,2026-08-14T07:30:27Z,JavaScript,100,521,500,617
abhigyanpatwari/GitNexus,45625,2025-08-02T23:20:31Z,2026-08-19T20:19:05Z,TypeScript,0,1169,898,1254
streamlit/streamlit,45577,2019-08-24T00:14:52Z,2026-08-20T22:08:46Z,Python,0,6043,5066,8380
ColorlibHQ/AdminLTE,45546,2013-12-25T02:52:40Z,2026-08-20T07:40:52Z,Astro,0,2933,2933,1583
Leaflet/Leaflet,45498,2010-09-22T16:57:44Z,2026-08-17T12:53:01Z,JavaScript,0,5363,4963,3327
jestjs/jest,45468,2013-12-10T00:18:04Z,2026-08-20T08:12:47Z,TypeScript,0,8217,8078,5965
isocpp/CppCoreGuidelines,45257,2015-08-19T20:22:52Z,2026-08-06T15:54:13Z,CSS,0,1237,1000,830
grpc/grpc,45231,2014-12-08T18:58:53Z,2026-08-20T22:57:37Z,C++,0,12019,11355,20867
sickn33/agentic-awesome-skills,45191,2026-01-14T17:48:09Z,2026-08-20T18:24:50Z,Python,0,162,162,794
coreyhaines31/marketingskills,45075,2026-01-15T19:45:23Z,2026-08-19T18:16:52Z,JavaScript,0,172,132,188
GitSquared/edex-ui,45048,2017-01-28T09:35:02Z,2021-10-19T22:38:47Z,JavaScript,29,559,553,399
pyenv/pyenv,45037,2012-08-31T06:57:52Z,2026-08-16T22:51:28Z,Shell,165,1908,1856,1113
MHSanaei/3x-ui,45006,2023-02-09T19:16:57Z,2026-08-20T21:14:22Z,Go,124,4263,4157,1048
fastapi/full-stack-fastapi-template,44988,2019-02-23T15:08:34Z,2026-08-17T08:38:42Z,TypeScript,15,441,441,727
react-hook-form/react-hook-form,44823,2019-03-05T23:47:10Z,2026-08-20T00:24:46Z,TypeScript,618,5002,5001,2315
meteor/meteor,44809,2012-01-19T01:58:17Z,2026-08-20T22:21:02Z,JavaScript,0,9331,9114,2930
DataTalksClub/data-engineering-zoomcamp,44777,2021-10-21T09:32:50Z,2026-08-20T12:07:40Z,Jupyter Notebook,0,146,146,462
mitmproxy/mitmproxy,44753,2010-02-16T04:10:13Z,2026-08-20T23:09:07Z,Python,81,3691,3320,2841
sudheerj/reactjs-interview-questions,44738,2018-05-31T17:17:01Z,2026-08-20T05:50:04Z,JavaScript,0,113,110,170
vercel/hyper,44698,2016-07-01T06:01:21Z,2026-06-29T11:03:02Z,TypeScript,88,3826,2882,3292
files-community/Files,44688,2019-01-04T18:19:14Z,2026-08-20T22:36:21Z,C#,141,11350,10908,5778
vnpy/vnpy,44643,2015-03-02T03:36:58Z,2026-08-10T01:07:58Z,Python,67,2187,2171,1077
getsentry/sentry,44584,2010-08-30T22:06:41Z,2026-08-20T22:51:02Z,Python,176,17255,15479,91209
logseq/logseq,44534,2020-05-23T00:06:06Z,2026-08-20T16:55:30Z,Clojure,153,8217,7349,3400
spf13/cobra,44478,2013-09-03T20:40:26Z,2026-07-11T00:43:07Z,Go,27,1255,1001,631
charmbracelet/bubbletea,44465,2020-01-10T21:04:03Z,2026-08-19T15:32:03Z,Go,80,443,337,709
paperless-ngx/paperless-ngx,44447,2022-02-12T21:56:52Z,2026-08-20T17:19:49Z,Python,156,2649,2648,3556
NaiboWang/EasySpider,44377,2020-07-18T02:41:27Z,2026-08-19T13:19:51Z,JavaScript,11,766,497,47
AykutSarac/jsoncrack.com,44310,2022-01-30T15:25:18Z,2026-08-18T17:35:36Z,TypeScript,23,289,260,91
payloadcms/payload,44291,2021-01-05T18:49:45Z,2026-08-20T23:09:19Z,TypeScript,574,4749,4332,7710
sharkdp/fd,44151,2017-05-09T21:27:10Z,2026-08-11T17:42:55Z,Rust,44,983,854,775
janhq/jan,44076,2023-08-17T02:17:10Z,2026-08-20T13:30:14Z,TypeScript,104,3796,3424,3813
parcel-bundler/parcel,44020,2017-08-07T16:36:47Z,2026-08-20T04:39:55Z,JavaScript,52,5539,5080,2600
streamich/react-use,44018,2018-10-27T10:16:05Z,2026-06-10T18:51:23Z,TypeScript,257,614,247,1534
Kong/kong,44009,2014-11-17T23:56:08Z,2026-08-16T14:44:43Z,Lua,147,4614,4537,6532
zen-browser/desktop,44001,2024-03-28T00:05:55Z,2026-08-20T22:19:01Z,JavaScript,186,9688,9113,1223
yangshun/front-end-interview-handbook,43989,2018-01-13T19:40:08Z,2026-08-13T08:25:31Z,JavaScript,0,103,92,356
babel/babel,43986,2014-09-28T13:38:23Z,2026-08-16T08:21:06Z,TypeScript,468,9113,8519,6739
lysine-dev/retrofit,43936,2010-09-06T21:39:43Z,2026-08-20T17:41:05Z,Java,4,2774,2645,1352
astaxie/build-web-application-with-golang,43902,2012-08-02T11:49:35Z,2024-05-12T00:47:46Z,Go,0,306,182,757
apache/spark,43845,2014-02-25T08:00:08Z,2026-08-20T21:04:26Z,Scala,0,98,58,8
DataExpert-io/data-engineer-handbook,43801,2023-11-19T19:47:41Z,2026-08-03T20:29:57Z,Jupyter Notebook,0,107,82,181
aymericdamien/TensorFlow-Examples,43736,2015-11-11T14:21:19Z,2024-07-26T19:46:13Z,Jupyter Notebook,0,239,71,88
ccxt/ccxt,43677,2017-05-14T15:41:56Z,2026-08-20T13:57:54Z,Python,248,11544,11314,15604
ray-project/ray,43570,2016-10-25T19:38:30Z,2026-08-20T23:03:20Z,Python,128,22968,20093,32184
juspay/hyperswitch,43524,2022-10-17T11:18:28Z,2026-08-20T22:26:04Z,Rust,158,4192,2853,7609
colinhacks/zod,43498,2020-03-07T20:59:08Z,2026-08-20T16:45:34Z,TypeScript,205,3152,3096,1160
danielmiessler/Fabric,43487,2024-01-03T23:18:31Z,2026-08-09T20:55:42Z,Go,423,859,829,646
gradio-app/gradio,43393,2018-12-19T08:24:04Z,2026-08-20T22:26:42Z,Python,1000,6716,6557,5733
Light-City/CPlusPlusThings,43367,2019-07-14T08:45:45Z,2026-05-16T06:05:14Z,C++,0,231,223,78
ziglang/zig,43314,2015-08-06T00:51:28Z,2025-11-27T01:42:59Z,Zig,21,13522,10800,9540
alex/what-happens-when,43295,2013-11-07T04:30:06Z,2024-08-19T13:02:25Z,,0,300,54,108
Unitech/pm2,43268,2013-05-21T03:25:25Z,2026-07-02T10:09:15Z,JavaScript,138,5147,4128,558
Imbad0202/academic-research-skills,43161,2026-02-26T06:31:01Z,2026-08-20T05:26:10Z,Python,40,316,297,412
HeyPuter/puter,43125,2024-03-03T01:44:32Z,2026-08-20T20:34:04Z,TypeScript,22,1225,1217,2031
zbezj/HEU_KMS_Activator,43116,2019-06-23T00:49:35Z,2026-07-06T04:01:22Z,,54,205,32,0
mifi/lossless-cut,43073,2016-10-30T10:49:56Z,2026-08-19T19:07:48Z,TypeScript,106,1923,1641,269
FuelLabs/fuels-rs,43062,2021-10-31T22:33:54Z,2026-06-29T14:14:40Z,Rust,121,663,613,915
juanfont/headscale,43035,2020-06-21T09:21:05Z,2026-07-30T10:20:13Z,Go,140,1340,1254,1349
FuelLabs/fuels-ts,43024,2021-09-03T18:11:03Z,2026-03-27T18:21:29Z,TypeScript,156,1457,1400,1979
deepspeedai/DeepSpeed,42971,2020-01-23T18:35:18Z,2026-08-20T17:07:55Z,Python,115,3369,2202,3174
faif/python-patterns,42937,2012-06-06T21:02:35Z,2026-08-20T09:10:58Z,Python,0,97,88,293
curl/curl,42655,2010-03-18T22:32:22Z,2026-08-20T22:16:45Z,C,97,5551,5546,211
k88hudson/git-flight-rules,42595,2014-07-22T20:35:09Z,2026-07-23T20:48:50Z,,0,73,59,227
mingrammer/diagrams,42529,2020-02-02T15:23:24Z,2026-08-16T12:09:29Z,Python,46,546,231,360
apachecn/ailearning,42468,2017-02-25T08:53:02Z,2024-11-12T16:21:55Z,Python,2,118,114,478
Alamofire/Alamofire,42417,2014-07-31T05:56:19Z,2026-08-03T01:00:57Z,Swift,106,2819,2788,674
danny-avila/LibreChat,42286,2023-02-12T01:06:52Z,2026-08-20T23:06:56Z,TypeScript,94,4896,4528,4142
imputnet/cobalt,42160,2022-07-08T18:12:55Z,2026-04-06T11:59:56Z,Svelte,0,1031,805,252
saadeghi/daisyui,42153,2020-11-28T22:57:27Z,2026-08-20T22:49:51Z,JavaScript,229,2201,2187,610
666ghj/BettaFish,42052,2024-07-01T13:11:38Z,2026-08-17T05:07:11Z,Python,6,442,441,119
fastlane/fastlane,42007,2014-12-02T17:00:38Z,2026-08-18T00:55:28Z,Ruby,568,13304,12786,6482
LC044/WeChatMsg,41975,2023-01-11T05:03:49Z,2025-12-30T13:31:16Z,,0,0,0,62
nolimits4web/swiper,41885,2012-03-14T19:11:45Z,2026-08-06T16:44:44Z,TypeScript,103,5831,5592,629
heygen-com/hyperframes,41837,2026-03-10T01:51:06Z,2026-08-20T23:07:15Z,TypeScript,355,294,251,2160
psf/black,41814,2018-03-14T19:54:45Z,2026-08-20T13:01:16Z,Python,55,2820,2554,1894
agno-agi/agno,41805,2022-05-04T15:23:02Z,2026-08-20T22:59:54Z,Python,232,2764,2132,3644
hexojs/hexo,41771,2012-09-23T15:17:08Z,2026-08-12T18:42:36Z,TypeScript,118,4001,3955,1000
freefq/free,41766,2020-06-07T02:48:33Z,2024-08-20T09:43:55Z,,0,894,294,0
aria2/aria2,41765,2010-11-27T09:41:48Z,2026-06-25T14:49:35Z,C++,24,1926,829,258
dylanaraps/pure-bash-bible,41718,2018-06-13T01:39:33Z,2023-11-28T03:26:23Z,Shell,0,77,33,28
chubin/cheat.sh,41663,2017-05-07T21:40:56Z,2025-12-23T18:48:24Z,Python,0,273,139,129
dcloudio/uni-app,41597,2018-07-12T08:52:39Z,2026-08-20T13:59:17Z,JavaScript,0,5099,4410,583
apache/dubbo,41557,2012-06-19T07:56:02Z,2026-08-13T18:29:17Z,Java,114,7424,6590,6133
sxyazi/yazi,41532,2023-07-08T11:45:55Z,2026-08-19T19:40:01Z,Rust,32,1954,1903,1276
chatboxai/chatbox,41495,2023-03-06T12:22:15Z,2026-08-14T14:13:27Z,TypeScript,60,2689,1539,81
tabler/tabler,41490,2018-02-01T09:08:59Z,2026-08-20T22:40:05Z,Astro,51,1221,1168,949
yarnpkg/yarn,41486,2016-01-19T17:39:16Z,2026-05-12T11:09:42Z,JavaScript,153,6624,4755,1655
hpcaitech/ColossalAI,41437,2021-10-28T16:19:44Z,2026-08-17T17:57:12Z,Python,50,1741,1297,3708
exelban/stats,41327,2019-05-29T19:24:56Z,2026-08-19T18:31:47Z,Swift,348,2931,2906,455
amruthpillai/reactive-resume,41308,2020-03-25T14:08:22Z,2026-08-20T08:56:18Z,TypeScript,136,2154,2051,938
nwjs/nw.js,41162,2012-01-04T06:21:10Z,2026-08-19T04:08:07Z,JavaScript,0,7456,6567,576
XTLS/Xray-core,41132,2020-11-09T11:23:10Z,2026-08-20T10:05:45Z,Go,119,3101,3069,1425
luongnv89/claude-howto,41127,2025-11-07T22:59:34Z,2026-08-19T08:58:30Z,Python,10,45,30,69
styled-components/styled-components,41120,2016-08-16T06:41:32Z,2026-08-17T17:53:56Z,TypeScript,239,3009,2998,1067
gkd-kit/gkd,41039,2023-07-04T03:59:15Z,2026-08-18T14:17:25Z,Kotlin,75,796,784,16
vercel-labs/agent-browser,41033,2026-01-11T05:38:15Z,2026-08-20T21:07:59Z,Rust,102,576,245,581
vuetifyjs/vuetify,41029,2016-09-12T00:39:35Z,2026-08-19T18:29:49Z,TypeScript,675,15441,15158,4808
bailicangdu/vue2-elm,41026,2016-12-23T01:49:20Z,2025-04-11T12:52:02Z,Vue,0,631,512,21
zai-org/ChatGLM-6B,40986,2023-03-13T12:00:18Z,2024-06-27T04:05:25Z,Python,0,1316,750,47
goabstract/Awesome-Design-Tools,40938,2019-02-12T13:55:30Z,2024-07-28T19:57:31Z,JavaScript,0,54,26,283
QSCTech/zju-icicles,40880,2016-06-28T16:17:32Z,2026-01-20T11:01:02Z,HTML,0,78,69,232
Hmbown/CodeWhale,40832,2026-01-19T18:21:01Z,2026-08-20T16:23:44Z,Rust,134,2499,2376,1758
ashishps1/awesome-system-design-resources,40797,2023-10-25T01:50:42Z,2026-02-16T18:32:29Z,Java,0,35,27,3
chatanywhere/GPT_API_free,40787,2023-04-23T12:42:08Z,2026-07-28T19:03:18Z,,0,439,438,1
facebookresearch/faiss,40779,2017-02-07T16:07:05Z,2026-08-19T22:06:01Z,C++,28,2779,2564,137
vim/vim,40776,2015-08-18T21:03:56Z,2026-08-20T21:29:35Z,Vim Script,0,9732,8167,440
appsmithorg/appsmith,40712,2020-06-30T04:07:36Z,2026-08-20T19:05:24Z,TypeScript,308,23749,19323,14329
remoteintech/remote-jobs,40690,2015-10-13T03:49:25Z,2026-08-11T12:07:57Z,JavaScript,0,204,200,1454
PatrickJS/awesome-cursorrules,40625,2024-09-16T15:38:38Z,2026-05-30T18:01:29Z,JavaScript,0,66,58,101
GyulyVGC/sniffnet,40618,2022-07-31T21:55:56Z,2026-08-20T22:21:27Z,Rust,18,368,312,547
bradtraversy/50projects50days,40615,2020-11-16T14:39:01Z,2025-02-26T13:49:39Z,CSS,0,0,0,44
ToolJet/ToolJet,40603,2021-03-30T08:51:34Z,2026-08-20T19:24:11Z,JavaScript,596,5284,4732,9089
chakra-ui/chakra-ui,40582,2019-08-17T14:27:54Z,2026-08-20T19:13:33Z,TypeScript,1000,4358,4354,3018
trpc/trpc,40525,2020-07-18T01:17:11Z,2026-08-13T21:58:09Z,TypeScript,239,1365,1210,3924
duckdb/duckdb,40475,2018-06-26T15:04:45Z,2026-08-20T18:48:29Z,C++,63,7451,6889,11685
pingcap/tidb,40456,2015-09-06T04:01:52Z,2026-08-20T19:18:04Z,Go,215,23899,18684,36068
wg/wrk,40387,2012-03-20T11:12:28Z,2023-12-30T10:33:51Z,C,0,0,0,0
LizardByte/Sunshine,40370,2021-12-15T23:38:57Z,2026-08-20T21:46:41Z,C++,46,1356,1258,2127
nushell/nushell,40303,2019-05-10T16:59:42Z,2026-08-20T21:09:07Z,Rust,124,7287,5906,9115
php/php-src,40301,2011-06-16T01:52:25Z,2026-08-20T21:27:52Z,C,60,5364,4409,5550
CorentinTh/it-tools,40296,2020-04-05T11:50:24Z,2026-08-16T11:35:00Z,Vue,10,712,225,493
ManimCommunity/manim,40283,2020-05-19T02:37:13Z,2026-08-20T18:02:15Z,Python,34,1806,1405,2130
outline/outline,40261,2016-05-22T21:31:47Z,2026-08-20T12:45:53Z,TypeScript,166,4230,4198,5258
bojieli/ai-agent-book,40247,2025-09-09T02:41:44Z,2026-08-20T10:40:37Z,Python,1,174,170,725
phaserjs/phaser,40176,2013-04-12T12:27:51Z,2026-07-09T14:33:40Z,JavaScript,178,4651,4543,1746
langchain-ai/langgraph,40121,2023-08-09T18:33:12Z,2026-08-20T07:50:25Z,Python,560,1514,1053,3912
microsoft/BitNet,40107,2024-08-05T09:07:38Z,2026-07-27T05:52:06Z,C++,0,306,103,34
photoprism/photoprism,40093,2018-01-27T12:00:15Z,2026-08-20T16:53:06Z,Go,83,2642,2207,959
gofiber/fiber,40066,2020-01-16T03:59:20Z,2026-08-20T13:04:32Z,Go,142,1738,1701,2422
google-research/bert,40048,2018-10-25T22:57:34Z,2024-07-23T23:39:41Z,Python,0,1145,355,32
evanw/esbuild,40008,2016-06-14T16:08:50Z,2026-08-09T17:20:12Z,Go,315,3920,3376,263
schollz/croc,39984,2017-10-17T15:20:18Z,2026-08-20T19:41:17Z,Go,211,623,620,380
Kong/insomnia,39957,2016-04-23T03:54:26Z,2026-08-20T20:41:29Z,TypeScript,562,4036,3297,4232
go-gorm/gorm,39913,2013-10-25T08:31:38Z,2026-06-25T07:21:11Z,Go,12,6145,5691,790
koalaman/shellcheck,39903,2012-11-17T03:15:11Z,2026-08-04T08:32:46Z,Haskell,30,3016,1901,346
siddharthvaddem/openscreen,39874,2025-10-10T05:36:55Z,2026-06-17T02:34:20Z,TypeScript,13,366,337,195
videojs/video.js,39858,2010-05-14T18:45:10Z,2026-08-03T10:03:33Z,JavaScript,336,5436,4819,1829
llvm/llvm-project,39836,2016-12-07T09:39:33Z,2026-08-20T22:59:30Z,LLVM,159,97959,68734,97404
2noise/ChatTTS,39774,2024-05-27T18:26:49Z,2026-04-10T16:33:48Z,Python,7,677,619,223
